lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
μῶνυξ,0,μ[ον](ό+ο)νυξ,μόνος,a,thematic,ὄνυξ,n,C-stem,1,2
Ναυβολος,0,Ναυ+βολος,ναῦς,n,u-stem,βάλλω,v,thematic,1,2
ναύμαχος,0,ναύ+μαχος,ναῦς,n,u-stem,μάχομαι,v,thematic,1,2
νέηλυς,0,νέ+ηλυς,νεός,a,thematic,ἠλυθεῖν,v,athematic,1,2
νεοαρδής,0,νεο+αρδής,νεός,a,thematic,ἄρδω,v,thematic,1,2
νεοθηλής,0,νεο+θηλής,νεός,a,thematic,θάλλω,v,thematic,1,2
Νεοπτόλεμος,0,Νεο+πτόλεμος,νέος,a,thematic,πόλεμος,n,thematic,1,2
νεόσμηκτος,0,νεό+σμηκτος,νεός,a,thematic,σμήχω,v,thematic,1,2
νεόστροφος,0,νεό+στροφος,νεός,a,thematic,στρέφω,v,thematic,1,2
νεότευκτος,0,νεό+τευκτος,νεός,a,thematic,τεύχω,v,thematic,1,2
νεοτευχής,0,νεο+τευχής,νεός,a,thematic,τεύχω,v,thematic,1,2
νεφεληγερέτα,0,νεφελ+ηγερέτα,νεφέλη,n,-ā/a,ἀγείρω,v,thematic,1,2
νηκερδής,0,νη+κερδής,ἀ/ἀν,d,,κέρδος,n,s-stem,1,2
νημερτής,0,ν+ημερτής,ἀ/ἀν,d,,ἁμαρτάνω,v,thematic,1,2
νήνεμος,0,ν+ήνεμος,ἀ/ἀν,d,,ἄνεμος,n,thematic,1,2
-νήριτος,0,-ν+ήριτος,ἀ/ἀν,d,,ἀρι- ?,v,?,1,2
νώνυμνος,0,ν+ώνυμνος,ἀ/ἀν,d,,ὄνομα,n,n-stem,1,2
Νώροψ,0,Νώρ+οψ,νω-?,?,,ὄψ,n,C-stem,1,2
ξεινοδόκος,0,ξεινο+δόκος,ξένος,n,thematic,δέχομαι,v,thematic,1,2
ξύλοχος,0,ξύλ+οχος,ξύλον,n,thematic,ἔχω,v,thematic,1,2
ὀβριμοεργός,0,ὀβριμο+εργός,ὄβριμος,a,thematic,ἔργον,n,thematic,2,2
ὀβριμοεργός,0,ὀβριμο+εργός,ὄβριμος,a,thematic,ἔργω,v,thematic,2,2
ὀβριμοπάτρη,0,ὀβριμο+πάτρη,ὄβριμος,a,thematic,πατήρ,n,r-stem,1,2
ὀγδώκοντα ,0,ὀγδώ+κοντα ,ὀκτώ,m,,ἑκατόν,m,,1,2
ὁδοιπόρος,0,ὁδοι+πόρος,ὁδός,n,thematic,πορεύω,v,thematic,1,2
ὀδυνήφατος,0,ὀδυνή+φατος,ὀδύνη,n,-ā/a,φημί,v,athematic,1,2
Ὀθρυονεύς,0,Ὀθρυο+νεύς,Ὄθρυς?,a,u-stem,ναός?,n,thematic,1,2
Οἰδίπους,0,Οἰδί+πους,οἰδέω?,v,thematic,ποῦς,n,C-stem,1,2
οἰνοβαρής,0,οἰνο+βαρής,οἶνος,n,thematic,βάρος,n,s-stem,1,2
Οἰνόμαος,0,Οἰνό+μαος,οἶνος,n,thematic,μαίομαι,v,thematic,1,2
οἰνόπεδον,0,οἰνό+πεδον,οἶνος,n,thematic,πέδον,n,thematic,1,2
οἰνοχόος,0,οἰνο+χόος,οἶνος,n,thematic,χέω,v,thematic,1,2
οἶνοψ,0,οἶν+οψ,οἶνος,n,thematic,ὄψ,n,C-stem,1,2
οἰοπόλος,0,οἰο+πόλος,οἶος,n,thematic,πέλω,v,thematic,1,2
οἰωνοπόλος,0,οἰωνο+πόλος,οἰωνός,n,thematic,πέλω,v,thematic,1,2
ὀκτάκνημος,0,ὀκτά+κνημος,ὀκτώ,m,,κνήμη,n,-ā/a,1,2
ὀλβιόδαιμος,0,ὀλβιό+δαιμος,ὄλβιος,a,thematic,δαίμων,n,n-stem,1,2
ὀλοοίτροχος,0,ὀλοοί+τροχος,ὀλοός,a,thematic,τρέχω,v,thematic,1,2
ὀλοόφρων,0,ὀλοό+φρων,ὀλοός,a,thematic,φρήν,n,n-stem,1,2
ὁμηγερής,0,ὁμ+ηγερής,ὁμός,a,thematic,ἀγείρω,v,thematic,1,2
ὁμῆλιξ,0,ὁμ+ῆλιξ,ὁμός,a,thematic,ἧλιξ,n,C-stem,1,2
ὁμογάστριος,0,ὁμο+γάστριος,ὁμός,a,thematic,γαστήρ,n,r-stem,1,2
ὁμοκλητήρ,0,ὁμο+κλητήρ,ὁμός,a,thematic,κλέω,v,thematic,1,2
ὁμότιμος,0,ὁμό+τιμος,ὁμός,a,thematic,τίμη,n,-ā/a,1,2
ὁμόφρων,0,ὁμό+φρων,ὁμός,a,thematic,φρήν,n,n-stem,1,2
ὀνειροπόλος,0,ὀνειρο+πόλος,ὄνειρος,n,thematic,πέλω,v,thematic,1,2
ὀνομάκλυτος,0,ὀνομά+κλυτος,ὄνομα,n,n-stem,κλύω,v,thematic,1,2
ὀξυβελής,0,ὀξυ+βελής,ὀξύς,a,u-stem,βέλος,n,s-stem,1,2
Ὀρέσβιος,0,Ὀρέσ+βιος,ὄρος,n,s-stem,βίος,n,thematic,1,2
ὀρεσίτροφος,0,ὀρεσί+τροφος,ὄρος,n,s-stem,τρέφω,v,thematic,1,2
ὀρεσκῷος,0,ὀρεσ+κῷος,ὄρος,n,s-stem,κεῖμαι,v,athematic,1,2
ὀρθόκραιρος,0,ὀρθό+κραιρος,ὀρθός,a,thematic,κέρας,n,s-stem,1,2
Ὀρσίλοχος,0,Ὀρσί+λοχος,ὄρνυμι,v,athematic,λόχος,n,thematic,1,2
Ὀρτίλοχος,0,Ὀρτί+λοχος,ὄρνυμι,v,athematic,λόχος,n,thematic,1,2
οὐδενόσωρα,0,οὐδενό+σωρα,οὐδείς,a,n-stem,ὤρα,n,-ā/a,1,2
οὐλοχύτης,0,οὐλο+χύτης,οὐλαί,n,-ā/a,χέω,v,thematic,1,2
ὀψίγονoς,0,ὀψί+γονoς,ὀψέ,d,,γίγνομαι,v,thematic,1,2
παγχάλκης,0,παγ+χάλκης,πᾶς,a,n-stem,χαλκός,n,thematic,1,2
παγχρύσεος,0,παγ+χρύσεος,πᾶς,a,n-stem,χρυσός,n,thematic,1,2
παιδοφόνος,0,παιδο+φόνος,παῖς,n,n-stem,θείνω,v,thematic,1,2
παλαιγενής,0,παλαι+γενής,παλαιός,a,thematic,γίγνομαι,v,thematic,1,2
παλίλλογος,0,παλίλ+λογος,πάλιν,d,,λέγω,v,thematic,1,2
παλιμπετής,0,παλιμ+πετής,πάλιν,d,,πίπτω,v,thematic,1,2
παλίντονος,0,παλίν+τονος,πάλιν,d,,τείνω,v,thematic,1,2
παλίωξις,0,παλί+ωξις,πάλιν,r,,ἰωκή,n,-ā/a,1,2
πάμπαν,0,πάμ+παν,πᾶς,a,n-stem,πᾶς,a,n-stem,1,2
παμποίκιλος,0,παμ+ποίκιλος,πᾶς,a,n-stem,ποικίλος,n,thematic,1,2
πάμπρωτος,0,πάμ+πρωτος,πᾶς,a,n-stem,πρῶτος,a,thematic,1,2
πάναγρος,0,πάν+αγρος,πᾶς,a,n-stem,ἄγρα,n,-ā/a,1,2
πάναιθος,0,πάν+αιθος,πᾶς,a,n-stem,αἰθός,a,thematic,1,2
παναίολος,0,παν+αίολος,πᾶς,a,n-stem,αἰόλος,a,thematic,1,2
πανάποτμος,0,παν+άποτμος,πᾶς,a,n-stem,ἄποτμος,a,thematic,1,2
παναφῆλιξ,0,παν+αφῆλιξ,πᾶς,a,n-stem,-αφῆλιξ,a,C-stem,1,3
Παναχαιοί,0,Παν+αχαιοί,πᾶς,a,n-stem,Ἀχαιός,n,thematic,1,2
παναώριος,0,παν+αώριος,πᾶς,a,n-stem,ἄωρος,a,thematic,1,3
πανδαμάτωρ,0,παν+δαμάτωρ,πᾶς,a,n-stem,δαμάζω,v,thematic,1,2
Πάνδοκος,0,Πάν+δοκος,πᾶς,a,n-stem,δέχομαι,v,thematic,1,2
Πανέλληνες,0,Παν+έλληνες,πᾶς,a,n-stem,Ἕλλην,n,n-stem,1,2
πανημέριος,0,παν+ημέριος,πᾶς,a,n-stem,ἦμαρ,n,r-stem,1,2
Πάνθοος,0,Πάν+θοος,πᾶς,a,n-stem,θέω,v,thematic,1,2
παννύχιος,0,παν+νύχιος,πᾶς,a,n-stem,νύξ,n,C-stem,1,2
πάννυχος,0,πάν+νυχος,πᾶς,a,n-stem,νύξ,n,C-stem,1,2
πανομφαῖος,0,παν+ομφαῖος,πᾶς,a,n-stem,ὀμφή,n,-ā/a,1,2
Πανοπεύς,0,Παν+οπεύς,πᾶς,a,n-stem,ὄψ?,n,C-stem,1,2
πανόψιος,0,παν+όψιος,πᾶς,a,n-stem,ὄψις,n,i-stem,1,2
πανσυδίᾳ,0,παν+συδίᾳ,πᾶς,a,n-stem,σεύω,v,thematic,1,2
παραβλώψ,0,παρα+βλώψ,παρά,r,,βλέπω,v,thematic,1,2
παραιβάτης,0,παραι+βάτης,παρά,r,,βαίνω,v,thematic,1,2
παραίσιος,0,παρ+αίσιος,παρά,r,,αἴσιος,a,thematic,1,2
παραίφασις,0,παραί+φασις,παρά,r,,φημί,v,athematic,1,2
παράκοιτος,0,παρά+κοιτος,παρά,r,,κοιτίς/κοῖτος,n,thematic,1,2
παραρρητός,0,παρα+ρρητός,παρά,r,,ἐρῶ,v,athematic,1,2
παρασταδόν,0,παρα+σταδόν,παρά,r,,ἵστημι,v,athematic,1,2
παρήορος,0,παρ+ήορος,παρά,r,,ἀείρω,v,thematic,1,2
παρθενοπίπης,0,παρθενο+πίπης,παρθένος,n,thematic,ὀπιπεύω,v,thematic,1,2
πατροκασίγνητος,0,πατρο+κασίγνητος,πατήρ,n,r-stem,κασίγνητος,n,thematic,1,3
Πατροκλῆς,1,Πατρο+κλῆς,πατήρ,n,r-stem,κλέος,n,s-stem,2,2
Πατροκλῆς,1,Πατρο+κλῆς,πατήρ,n,r-stem,κλέω,v,thematic,2,2
Πειρίθοος,0,Πειρί+θοος,περί,r,,θέω,v,thematic,1,2
Πείσανδρος,0,Πείσ+ανδρος,πείθω,v,thematic,ἀνήρ,n,r-stem,1,2
Πεισήνωρ,0,Πεισ+ήνωρ,πείθω,v,thematic,ἀνήρ,n,r-stem,1,2
πεμπώβολον,0,πεμπ(ο+ό)βολον,πέμπτος,m,,ὀβελός,n,thematic,1,2
πενταέτηρος,0,πεντα+έτηρος,πέντε,m,,ἔτος,n,s-stem,1,2
πεντήκοντα,0,πεντή+κοντα,πέντε,m,,ἑκατόν,m,,1,2
πεντηκοντόγυος,0,πεντηκοντό+γυος,πεντήκοντα,m,,γύη,n,-ā/a,1,2
περίβοιος,1,περί+βοιος,περί,r,,βοῦς,n,u-stem,1,2
περιγλαγής,0,περι+γλαγής,περί,r,,γλάγος,n,s-stem,1,2
περιδέξιος,0,περι+δέξιος,περί,r,,δεξιός,a,thematic,1,2
περίδρομος,0,περί+δρομος,περί,r,,δραμεῖν,v,?,1,2
Περιήρης,0,Περι+ήρης,περί,r,,ἀραρίσκω,v,thematic,1,2
περικαλλής,0,περι+καλλής,περί,r,,κάλλος,n,s-stem,1,2
περικλυτὸς,0,περι+κλυτὸς,περί,r,,κλύω,v,thematic,1,2
περικτίονες,0,περι+κτίονες,περί,r,,κτίζω,v,thematic,1,2
Περιμήδης,0,Περι+μήδης,περί,r,,μήδομαι,v,athematic,1,2
περιμήκης,0,περι+μήκης,περί,r,,μῆκος,n,s-stem,1,2
περισταδόν,0,περι+σταδόν,περί,r,,ἵστημι,v,athematic,1,2
περίτροχος ,0,περί+τροχος ,περί,r,,τρέχω,v,thematic,1,2
Περίφας,0,Περί+φας,περί,r,,φαίνω,v,thematic,1,2
Περιφήτης,0,Περι+φήτης,περί,r,,φημί,v,athematic,1,2
περιφραδής,1,περι+φραδής,περί,r,,φράζω,v,thematic,1,2
περίφρων,0,περί+φρων,περί,r,,φρήν,n,n-stem,1,2
περίωψ,1,περί+ωψ,περί,r,,ὤψ,n,C-stem,1,2
πηγεσίμαλλος,0,πηγεσί+μαλλος,πήγνυμι,v,athematic,μαλλός,n,thematic,1,2
πλήξιππος,0,πλή+ξιππος,πλήσσω,v,thematic,ἵππος,n,thematic,1,2
Πόδαργος,0,Πόδ+αργος,ποῦς,n,C-stem,ἀργός,a,thematic,1,2
ποδάρκης,0,ποδ+άρκης,ποῦς,n,C-stem,ἀρκέω,v,thematic,1,2
ποδηνεκής,0,ποδ+ηνεκής,ποῦς,n,C-stem,ἐνεγκεῖν,v,?,1,2
ποδήνεμος,0,ποδ+ήνεμος,ποῦς,n,C-stem,ἄνεμος,n,thematic,1,2
ποδώκης,0,ποδ+ώκης,ποῦς,n,C-stem,ὠκύς,a,u-stem,1,2
ποικιλομήτης,0,ποικιλο+μήτης,ποικιλός,a,thematic,μῆτις,n,i-stem,1,2
πολιοκρόταφος,0,πολιο+κρόταφος,πολιός,a,thematic,κρόταφος,n,thematic,1,2
Πολυαίμων,1,Πολυ+αίμων,πολύς,a,u-stem,αἶμα,n,n-stem,1,2
πολύαινος,0,πολύ+αινος,πολύς,a,u-stem,αἶνος,n,thematic,1,2
πολυᾶϊξ,0,πολυ+ᾶϊξ,πολύς,a,u-stem,αἴσσω,v,thematic,1,2
πολύαρνι,0,πολύ+αρνι,πολύς,a,u-stem,ἀρήν,n,n-stem,1,2
πολύβενθος,0,πολύ+βενθος,πολύς,a,u-stem,βένθος,n,s-stem,1,2
πολυβοτήρ,1,πολυ+βοτήρ,πολύς,a,u-stem,βώσκω,v,thematic,1,2
πολύβουλος,0,πολύ+βουλος,πολύς,a,u-stem,βουλή,n,-ā/a,1,2
πολυβούτης,0,πολυ+βούτης,πολύς,a,u-stem,βοῦς,n,u-stem,1,2
πολυδαίδαλος,0,πολυ+δαίδαλος,πολύς,a,u-stem,δαίδαλος,a,thematic,1,2
πολύδακρυς,0,πολύ+δακρυς,πολύς,a,u-stem,δάκρυ,n,u-stem,1,2
πολυδάκρυτος,0,πολυ+δάκρυτος,πολύς,a,u-stem,δακρύω,v,thematic,1,2
Πολυδάμας,0,Πολυ+δάμας,πολύς,a,u-stem,δαμάζω,v,thematic,1,2
πολυδειράδος,0,πολυ+δειράδος,πολύς,a,u-stem,δειράς,n,C-stem,1,2
Πολυδεύκης,0,Πολυ+δεύκης,πολύς,a,u-stem,δευκ-?,?,,1,2
πολυδίψιος,0,πολυ+δίψιος,πολύς,a,u-stem,δίψα,n,-ā/a,1,2
πολύδωρος,0,πολύ+δωρος,πολύς,a,u-stem,δῶρον,n,thematic,1,2
Πολύειδος,0,Πολύ+ειδος,πολύς,a,u-stem,εἶδος,n,s-stem,1,2
πολύζυγος,0,πολύ+ζυγος,πολύς,a,u-stem,ζυγόν,n,thematic,1,2
πολυηγερής,0,πολυ+ηγερής,πολύς,a,u-stem,ἀγείρω,v,thematic,1,2
πολυθαρσής,0,πολυ+θαρσής,πολύς,a,u-stem,θάρσος,n,s-stem,1,2
Πολύιδος,0,Πολύ+ιδος,πολύς,a,u-stem,οἶδα,v,athematic,1,2
πολύϊππος,0,πολύ+ϊππος,πολύς,a,u-stem,ἵππος,n,thematic,1,2
πολυκαγκής,0,πολυ+καγκής,πολύς,a,u-stem,κάγκω?,v,thematic,1,2
πολύκεστος,0,πολύ+κεστος,πολύς,a,u-stem,κέντω?,v,thematic,1,2
πολυκλήϊς,0,πολυ+κλήϊς,πολύς,a,u-stem,κλείς,n,C-stem,1,2
πολύκλητος,0,πολύ+κλητος,πολύς,a,u-stem,κλέω,v,thematic,1,2
πολύκμητος,0,πολύ+κμητος,πολύς,a,u-stem,κάμνω,v,thematic,1,2
πολύκνημος,0,πολύ+κνημος,πολύς,a,u-stem,κνήμη,n,-ā/a,1,2
πολυκοίρανος,0,πολυ+κοίρανος,πολύς,a,u-stem,κοίρανος,n,thematic,1,2
πολυκτήμων,0,πολυ+κτήμων,πολύς,a,u-stem,κτάομαι,v,thematic,1,2
πολυλήϊος,0,πολυ+λήϊος,πολύς,a,u-stem,λήϊον,n,thematic,1,2
πολύμηλος,0,πολύ+μηλος,πολύς,a,u-stem,μῆλον,n,thematic,1,2
πολύμητις,0,πολύ+μητις,πολύς,a,u-stem,μήτις?,n,i-stem,1,2
πολυμήχανος,0,πολυ+μήχανος,πολύς,a,u-stem,μηχανή,n,-ā/a,1,2
πολύμυθος,0,πολύ+μυθος,πολύς,a,u-stem,μῦθος,n,thematic,1,2
Πολυνείκης,0,Πολυ+νείκης,πολύς,a,u-stem,νεῖκος,n,s-stem,1,2
Πολύξεινος,0,Πολύ+ξεινος,πολύς,a,u-stem,ξένος,n,thematic,1,2
πολυπάμων,0,πολυ+πάμων,πολύς,a,u-stem,πεπαμαι,v,?,1,2
πολυπενθής,0,πολυ+πενθής,πολύς,a,u-stem,πένθος,n,s-stem,1,2
πολυπῖδαξ,0,πολυ+πῖδαξ,πολύς,a,u-stem,πῖδαξ,n,C-stem,1,2
πολύπλαγκτος,0,πολύ+πλαγκτος,πολύς,a,u-stem,πλάσσω,v,thematic,1,2
Πολυποίτης,0,Πολυ+ποίτης,πολύς,a,u-stem,ποιέω,v,thematic,1,2
πολύπτυχος,0,πολύ+πτυχος,πολύς,a,u-stem,πτύξ,n,C-stem,1,2
πολύρρην,0,πολύ+ρρην,πολύς,a,u-stem,ἀρήν,n,n-stem,1,2
πολύσκαρθμος,0,πολύ+σκαρθμος,πολύς,a,u-stem,σκαρθμός?,n,thematic,1,2
πολυσπερής,0,πολυ+σπερής,πολύς,a,u-stem,σπείρω,v,thematic,1,2
πολυστάφυλος,0,πολυ+στάφυλος,πολύς,a,u-stem,σταφυλή,n,-ā/a,1,2
πολύστονος,0,πολύ+στονος,πολύς,a,u-stem,στένω,v,thematic,1,2
πολύτλας,0,πολύ+τλας,πολύς,a,u-stem,τλάω,v,thematic,1,2
πολυτλήμων,0,πολυ+τλήμων,πολύς,a,u-stem,τλάω,v,thematic,1,2
πολυτρήρων,0,πολυ+τρήρων,πολύς,a,u-stem,τρήρων,n,n-stem,1,2
πολυφάρμακος,0,πολυ+φάρμακος,πολύς,a,u-stem,φάρμακον,n,thematic,1,2
Πολύφημος,0,Πολύ+φημος,πολύς,a,u-stem,φήμη,n,-ā/a,1,2
Πολυφήτης,0,Πολυ+φήτης,πολύς,a,u-stem,φημί,v,athematic,1,2
πολύφλοισβος,0,πολύ+φλοισβος,πολύς,a,u-stem,φλοῖσβος,n,thematic,1,2
Πολυφόντης,0,Πολυ+φόντης,πολύς,a,u-stem,θείνω,v,thematic,1,2
πολύφορβος,0,πολύ+φορβος,πολύς,a,u-stem,φορβή,n,-ā/a,1,2
πολύχαλκος,0,πολύ+χαλκος,πολύς,a,u-stem,χαλκός,n,thematic,1,2
πολύχρυσος,0,πολύ+χρυσος,πολύς,a,u-stem,χρυσός,n,thematic,1,2
ποντοπόρος,0,ποντο+πόρος,πόντος,n,thematic,πορεύω,v,thematic,1,2
πρεσβυγενής,0,πρεσβυ+γενής,πρέσβυς,a,u-stem,γίγνομαι,v,thematic,1,2
πρόβατον,0,πρό+βατον,πρό,r,,βαίνω,v,thematic,1,2
προβλής,0,προ+βλής,πρό,r,,βάλλω,v,thematic,1,2
προγενής,0,προ+γενής,πρό,r,,γίγνομαι,v,thematic,1,2
προδοκή,0,προ+δοκή,πρό,r,,δέχομαι,v,thematic,1,2
πρόδομος,0,πρό+δομος,πρό,r,,δόμος,n,thematic,1,2
προθέλυμνος,0,προ+θέλυμνος,πρό,r,,-θελυμνο-,?,,1,2
Προθοήνωρ,0,Προθο+ήνωρ,Πρόθοος?,a,thematic,ἀνήρ,n,r-stem,1,2
Πρόθοος,0,Πρό+θοος,πρό,r,,θέω,v,thematic,1,2
Προθόων,0,Προ+θόων,πρό,r,,θέω,v,thematic,1,2
πρόθυμος,1,πρό+θυμος,πρό,r,,θυμός,n,thematic,1,2
πρόκλυτος,0,πρό+κλυτος,πρό,r,,κλύω,v,thematic,1,2
πρόμαχος,0,πρό+μαχος,πρό,r,,μάχομαι,v,thematic,1,2
Πρόνοος,0,Πρό+νοος,πρό,r,,νοῦς,n,u-stem,1,2
πρόπαν,0,πρό+παν,πρό,r,,πᾶς,a,n-stem,1,2
προπρηνής,0,προ+πρηνής,πρό,r,,πρανής,a,n-stem,1,2
πρόσωπον,0,πρόσ+ωπον,πρός,r,,ὤψ,n,C-stem,1,2
προτίμαστος,0,προτί+μαστος,πρός,r,,μαίομαι,v,thematic,1,2
πρότμησις,0,πρό+τμησις,πρό,r,,τέμνω,v,thematic,1,2
πρότονος,0,πρό+τονος,πρό,r,,τείνω,v,thematic,1,2
πρόφρασσα,0,πρό+φρασσα,πρό,r,,φρήν,n,n-stem,1,2
πρόφρων,0,πρό+φρων,πρό,r,,φρήν,n,n-stem,1,2
πρόχοος,0,πρό+χοος,πρό,r,,χέω,v,thematic,1,2
πρύμνωρος,1,πρύμν+ωρος,πρυμνα,n,-ā/a,ὄρος?,?,-ā/a,1,2
Πρωτεσίλαος,0,Πρωτεσί+λαος,πρῶτος?,m,,λαός,n,thematic,1,2
πρωτογόνος,0,πρωτο+γόνος,πρῶτος,m,,γίγνομαι,v,thematic,1,2
πρωτοπαγής,0,πρωτο+παγής,πρῶτος,m,,πήγνυμι,v,athematic,1,2
πρωτοτόκος,0,πρωτο+τόκος,πρῶτος,m,,τίκτω,v,thematic,1,2
πτολίπορθος,0,πτολί+πορθος,πόλις,n,i-stem,πέρθω,v,thematic,1,2
πύγμαχος,0,πύγ+μαχος,πύξ,d,,μάχομαι,v,thematic,1,2
Πυλαιμένης,0,Πυλαι+μένης,πύλη?,n,-ā/a,μένω,v,thematic,1,2
πυλάρτης,0,πυλ+άρτης,πύλη,n,-ā/a,ἀραρίσκω,v,thematic,1,2
πυλαωρός,0,πυλα+ωρός,πύλη,n,-ā/a,ἐρύω,v,thematic,3,2
πυλαωρός,0,πυλα+ωρός,πύλη,n,-ā/a,ὁράω,v,thematic,3,2
πυλαωρός,0,πυλα+ωρός,πύλη,n,-ā/a,οὐροί,n,thematic,3,2
Πυλοιγενής,0,Πυλοι+γενής,Πύλος,n,thematic,γίγνομαι,v,thematic,1,2
πυράγρα,0,πυρ+άγρα,πῦρ,n,r-stem,ἄγρα,n,-ā/a,1,2
Πυραίχμης,0,Πυρ+αίχμης,πῦρ,n,r-stem,αἰχμή,n,-ā/a,1,2
πυρίκαυστος,0,πυρί+καυστος,πῦρ,n,r-stem,καίω,v,thematic,1,2
πυρκαιός,0,πυρ+καιός,πῦρ,n,r-stem,καίω,v,thematic,1,2
πυροφόρος,0,πυρο+φόρος,πῦρ,n,r-stem,φέρω,v,thematic,1,2
ῥηξήνωρ,0,ῥηξ+ήνωρ,ῥήγνυμι,v,athematic,ἀνήρ,n,r-stem,1,2
ῥινοτόρος,0,ῥινο+τόρος,ῥινός,n,thematic,τείρω,v,thematic,1,2
ῥοδοδάκτυλος,0,ῥοδο+δάκτυλος,ῥόδον,n,thematic,δάκτυλος,n,thematic,1,2
σακέσπαλος,0,σακέσ+παλος,σάκος,n,s-stem,πάλλω,v,thematic,1,2
σαόφρων,0,σαό+φρων,σῶς,a,thematic,φρήν,n,n-stem,1,2
σκηπτοῦχος,0,σκηπτ(ό+ο)χος,σκῆπτον,n,thematic,ἔχω,v,thematic,1,2
σκυτοτόμος,0,σκυτο+τόμος,σκῦτος,n,s-stem,τέμνω,v,thematic,1,2
στεινωπός,0,στειν+ωπός,στενός,a,thematic,ὀπή,n,-ā/a,1,2
στεροπηγερέτα,0,στεροπ+ηγερέτα,στεροπή,n,-ā/a,ἀγείρω,v,thematic,1,2
συβόσια,0,συ+βόσια,σῦς,n,u-stem,βώσκω,v,thematic,1,2
σύμπας,0,σύμ+πας,σύν,r,,πᾶς,a,n-stem,1,2
συμφερτός,0,συμ+φερτός,σύν,r,,φέρω,v,thematic,1,2
συμφράδμων,0,συμ+φράδμων,σύν,r,,φράζω,v,thematic,1,2
σύνθεσις,1,σύν+θεσις,σύν,r,,τίθημι,v,athematic,1,2
ταλαεργός,0,ταλα+εργός,τλάω,v,thematic,ἔργον,n,thematic,1,2
Ταλαιμένης,0,Ταλαι+μένης,τάλας?,a,n-stem,μένος,n,s-stem,1,2
ταλασίφρονος,0,ταλασί+φρονος,τλάω,v,thematic,φρήν,n,n-stem,1,2
ταλασίφρων,0,ταλασί+φρων,τλάω,v,thematic,φρήν,n,n-stem,1,2
ταλάφρων,0,ταλά+φρων,τλάω,v,thematic,φρήν,n,n-stem,1,2
ταμεσίχρως,0,ταμεσί+χρως,τάμνω,v,thematic,χρώς,n,s-stem,1,2
ταναήκης,0,τανα+ήκης,ταναός,a,thematic,ἀκή,n,-ā/a,1,2
τανηλεγής,0,ταν+ηλεγής,ταναός,a,thematic,ἔλεγος,n,s-stem,1,2
τανηλεγής,0,ταν+ηλεγής,ταναός,a,thematic,ἐλέγω,v,thematic,1,2
τανυγλώχις,0,τανυ+γλώχις,τανύω,v,thematic,γλώχις,n,n-stem,1,2
τανυήκης,0,τανυ+ήκης,τανύω,v,thematic,ἀκή,n,-ā/a,1,2
τανύπεπλος,0,τανύ+πεπλος,τανύω,v,thematic,πέπλος,n,thematic,1,2
τανυυπτέρυξ,0,τανυ+πτέρυξ,τανύω,v,thematic,πτέρυξ,n,C-stem,1,2
τανύφλοιος,0,τανύ+φλοιος,τανύω,v,thematic,φολοιός,n,thematic,1,2
ταχύπωλος,0,ταχύ+πωλος,ταχύς,a,u-stem,πῶλος,n,thematic,1,2
τειχεσιπλήτης,0,τειχεσι+πλήτης,τεῖχος,n,s-stem,πελάζω,v,thematic,1,2
τελεσφόρος,0,τελεσ+φόρος,τέλος,n,s-stem,φέρω,v,thematic,1,2
τερπικέραυνος,0,τερπι+κέραυνος,τέρπος?,n,s-stem,κέραυνος,n,thematic,2,2
τερπικέραυνος,0,τερπι+κέραυνος,τέρπω,v,thematic,κέραυνος,n,thematic,2,2
τεσσαράβοιος,0,τεσσαρά+βοιος,τέτταρες,m,,βοῦς,n,u-stem,1,2
τετραθέλυμνος,0,τετρα+θέλυμνος,τέτταρες,m,,-θελυμνο-?,?,,1,2
τετράκυκλος,0,τετρά+κυκλος,τέτταρες,m,,κύκλος,n,thematic,1,2
τετραφάληρος,0,τετρα+φάληρος,τέτταρες,m,,φαλός,n,thematic,1,2
τετράφαλος,0,τετρά+φαλος,τέτταρες,m,,φαλός,n,thematic,1,2
τηλεκλειτός,0,τηλε+κλειτός,τῆλε,d,,κλειτός,a,thematic,1,2
τηλεκλειτός,0,τηλε+κλειτός,τῆλε,d,,κλέω,v,thematic,1,2
τηλεκλυτός,0,τηλε+κλυτός,τῆλε,d,,κλύω,v,thematic,1,2
Τηλέμαχος,0,Τηλέ+μαχος,τῆλε,d,,μάχομαι,v,thematic,1,2
Τληπόλεμος,0,Τλη+πόλεμος,τλάω,v,thematic,πόλεμος,n,thematic,1,2
τοξοφόρος,0,τοξο+φόρος,τόξον,n,thematic,φέρω,v,thematic,1,2
τριγλώχις,0,τρι+γλώχις,τρεῖς ,m,,γλωχίς,n,n-stem,1,2
τρίλλιστος,0,τρί+λλιστος,τρεῖς ,m,,λίσσομαι,v,thematic,1,2
τρίπλαξ,0,τρί+πλαξ,δύο ,m,,πλέκω,v,thematic,1,2
τρίπολος,0,τρί+πολος,τρεῖς ,m,,πέλω,v,thematic,1,2
τρίπους,0,τρί+πους,τρεῖς ,m,,ποῦς,n,C-stem,1,2
τρίπτυχος,0,τρί+πτυχος,τρεῖς ,m,,πτύσσω,v,thematic,1,2
τριστοιχός,0,τρι+στοιχός,τρεῖς ,m,,στείχω,v,thematic,1,2
τρισχίλιαι,0,τρι+σχίλιαι,τρεῖς ,m,,χίλιοι,n,-ā/a,1,2
