lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
ἀργυρόπεζα,0,ἀργυρό+πεζα,ἄργυρος,n,thematic,ποῦς,n,C-stem,1,2
ἀργυρότοξος,0,ἀργυρό+τοξος,ἄργυρος,n,thematic,τόξον,n,thematic,1,2
Ἀρείφατος,0,Ἀρεί+φατος,Ἄρης,n,s-stem,θείνω,v,thematic,1,2
Ἀρηΐθοος,0,Ἀρηΐ+θοος,Ἄρης,n,s-stem,θέω,v,thematic,1,2
Ἀρηΐλυκος,0,Ἀρηΐ+λυκος,Ἄρης,n,s-stem,λύκος?,n,thematic,1,2
ἀρηΐφιλος,0,ἀρηΐ+φιλος,Ἄρης,n,s-stem,φίλος,a,thematic,1,2
ἀρίγνωτος,0,ἀρί+γνωτος,ἀρι-,d,,γιγνώσκω,v,thematic,1,2
ἀριδείκετος,0,ἀρι+δείκετος,ἀρι-,d,,δείκνυμι,v,athematic,1,2
ἀρίζηλος,0,ἀρί+ζηλος,ἀρι-,d,,ζῆλος,n,thematic,1,2
ἀριπρεπής,0,ἀρι+πρεπής,ἀρι-,d,,πρέπω,v,thematic,1,2
-αριστοτόκoς,1,-αριστο+τόκoς,ἄριστος,a,thematic,τίκτω,v,thematic,1,2
ἀριφραδής,0,ἀρι+φραδής,ἀρι-,d,,φράζω,v,thematic,1,2
Ἀρκεσίλαος,0,Ἀρκεσί+λαος,ἀρκέω,v,thematic,λαός,n,thematic,1,2
ἁρματοπηγὸς,0,ἁρματο+πηγὸς,ἅρμα,n,n-stem,πήγνυμι,v,athematic,1,2
ἄρρηκτος,0,ἄ+ρρηκτος,ἀ/ἀν,d,,ρήγνυμι,v,athematic,1,2
Ἀρσίνοος,0,Ἀρσί+νοος,ἀείρω/ἀραρίσκω,v,thematic,νοῦς,n,u-stem,1,2
ἀρτιεπής,0,ἀρτι+επής,ἀραρίσκω,v,thematic,ἔπος,n,s-stem,1,2
ἀρτίπους,0,ἀρτί+πους,ἀραρίσκω,v,thematic,ποῦς,n,C-stem,1,2
